ID,Credit_Score
0xd66e,Standard
0x4a7b,Good
0x13a1a,Poor
0xfc2d,Standard
0x1d98f,Standard
0x17041,Good
0xcaba,Standard
0xd2f8,Standard
0x18d03,Standard
0x1cadb,Good
0x1d916,Standard
0x7454,Poor
0x1b9d5,Good
0xa912,Good
0x1a7f0,Good
0x16d3a,Good
0x1c182,Good
0x86f2,Standard
0x8305,Poor
0x135cc,Good
0x46f8,Standard
0x16d5,Standard
0x173ce,Poor
0xa0a1,Standard
0x8a67,Good
0x17ef8,Poor
0x1e1e9,Standard
0x1ba97,Poor
0xbc23,Standard
0x73c2,Good
0x13134,Poor
0xc654,Poor
0xe090,Standard
0xc090,Good
0x1d06b,Standard
0x7ebc,Standard
0xd548,Poor
0x12ab0,Standard
0xc7a1,Standard
0x1d99f,Good
0x51f1,Standard
0x6675,Standard
0x797a,Standard
0x116e7,Standard
0x4992,Good
0x1740,Standard
0x1358e,Standard
0x2954,Standard
0x172bd,Standard
0xde85,Good
0x1efb,Good
0x14cf3,Poor
0x19027,Standard
0x1b240,Standard
0xcc78,Poor
0x1c614,Standard
0x1c16a,Good
0x1c98c,Good
0x197b4,Standard
0x2138,Good
0x2beb,Good
0x14977,Standard
0x153bd,Good
0x28d0,Poor
0x176c4,Standard
0x9be2,Poor
0x1b647,Standard
0x2c23,Poor
0xc465,Poor
0xb9d6,Standard
0x8c4d,Standard
0xac7a,Standard
0xc412,Poor
0x101cd,Good
0x3ca4,Standard
0x1ba4c,Standard
0x90d8,Good
0x1801f,Good
0xdb49,Standard
0xe0e4,Poor
0xdda9,Good
0x1dbf7,Standard
0xa5bb,Good
0x6cbb,Good
0xd23b,Good
0x14318,Standard
0x12d37,Standard
0xfbcc,Poor
0x428e,Good
0x19911,Poor
0xe317,Standard
0xa6f5,Good
0x17f3a,Poor
0xb600,Standard
0x18f0d,Good
0x1e7d4,Poor
0x65f2,Good
0x12b52,Standard
0x4634,Standard
0x190b8,Standard
0x17fb2,Poor
0x117a8,Poor
0x16456,Poor
0x5caa,Poor
0x854d,Poor
0x312a,Good
0x1010c,Poor
0xe828,Standard
0x62d9,Standard
0x1ba1a,Good
0x7155,Good
0x16ba7,Good
0x18069,Good
0x1d0b4,Standard
0x1883b,Poor
0xfff8,Poor
0x2aae,Standard
0x175f,Poor
0x1a0cf,Standard
0x1e5d9,Poor
0x8e44,Standard
0x1028b,Good
0x3097,Poor
0x97b7,Standard
0xa25e,Good
0x17c89,Standard
0xafdb,Standard
0x1abd3,Good
0x4a55,Good
0x6cc9,Standard
0xad47,Good
0xc32f,Standard
0x10633,Poor
0x3a29,Good
0xc979,Standard
0x1cad8,Good
0x109c3,Good
0x12fb1,Standard
0x16212,Standard
0x17716,Good
0x2c16,Standard
0xcfbf,Poor
0x114af,Poor
0x13338,Standard
0x19f51,Poor
0xe723,Standard
0x1424f,Poor
0x18523,Standard
0x18558,Standard
0x1dad5,Standard
0x156ec,Standard
0x531d,Standard
0x53c0,Standard
0x1833b,Standard
0x108ba,Standard
0x6ffd,Poor
0x920f,Poor
0x104e5,Good
0xd5d6,Standard
0xb91a,Poor
0x8371,Good
0x1a109,Poor
0xafc2,Standard
0x50f3,Good
0x3b89,Standard
0x1206b,Poor
0x1a026,Standard
0x15e28,Poor
0xb90c,Poor
0x1c02c,Standard
0xc7e6,Poor
0x135bb,Good
0x1644d,Poor
0x7ab4,Standard
0x12bce,Good
0x19add,Standard
0x16d6b,Poor
0x11841,Poor
0x1a665,Poor
0x1ac49,Good
0x4aa7,Good
0x15ebf,Standard
0x1b85e,Poor
0x11eec,Standard
0xfe57,Standard
0x7310,Good
0x95a7,Good
0x8445,Standard
0xa0d2,Standard
0x4d91,Standard
0x1b71b,Good
0x42ef,Poor
0x7e83,Poor
0x18085,Standard
0xa854,Poor
0x1224b,Standard
0x1a17f,Good
0x100b9,Poor
0x17c24,Good
0xef3c,Standard
0x14e4a,Standard
0x7e4f,Standard
0xb3e2,Good
0xcb3b,Standard
0x1e0f0,Standard
0x192f0,Poor
0xe928,Poor
0x152bf,Good
0x98f1,Standard
0x7b68,Good
0x11108,Good
0x12efb,Good
0x1cba5,Good
0x15c48,Poor
0x19372,Standard
0x10a84,Standard
0x12fb3,Standard
0x132e1,Standard
0xd07e,Good
0x4c67,Standard
0x409f,Standard
0x1bf44,Poor
0x166a0,Standard
0x16459,Poor
0xb5aa,Standard
0x1ab03,Good
0x19908,Standard
0xa23a,Poor
0x26ab,Standard
0x1c461,Standard
0x19ff6,Good
0x1dc77,Standard
0xbe05,Good
0x14841,Good
0x786a,Standard
0x15df6,Good
0x14bbc,Good
0xc8cd,Standard
0x6378,Good
0x1a137,Poor
0x356d,Standard
0x72be,Standard
0xbc00,Good
0x4192,Standard
0x12653,Standard
0x8f3c,Good
0xc0b3,Poor
0x1a450,Standard
0x7d8f,Standard
0x73f4,Good
0x5d23,Standard
0xd2f9,Standard
0x18920,Standard
0x7dfb,Standard
0x1b750,Poor
0x1db08,Poor
0xd3f6,Standard
0x545f,Standard
0xdfd0,Standard
0x17a23,Standard
0x17805,Poor
0x1a161,Poor
0xfed9,Standard
0x1c659,Poor
0x18cee,Standard
0x56c1,Good
0x1a93f,Poor
0x3e17,Standard
0x4be2,Standard
0x1a4a2,Standard
0x8a9d,Standard
0x1892f,Standard
0xf990,Standard
0x12d14,Standard
0xda9e,Good
0xa935,Standard
0x9fef,Poor
0xbd08,Standard
0x17611,Standard
0xbf2e,Standard
0x8e6e,Poor
0x1a616,Poor
0xaf2b,Good
0x16ebf,Poor
0xc6bb,Good
0x171c6,Standard
0x1856a,Good
0x1628f,Poor
0x7488,Poor
0x11958,Good
0xc66d,Standard
0xcfbc,Poor
0x17c92,Standard
0xb1b3,Standard
0x1ae37,Standard
0x1386c,Poor
0xeb6f,Poor
0x14b5a,Poor
0x8e66,Poor
0x132c0,Good
0x1448a,Standard
0x8722,Good
0x1552f,Good
0x5574,Good
0x9ba7,Poor
0xe2f4,Good
0x15468,Good
0x1b1ec,Good
0xad65,Poor
0x1582f,Good
0x42c6,Good
0x1a5cf,Standard
0x3254,Standard
0x50ab,Poor
0x3c73,Standard
0x37ff,Good
0x175e7,Good
0xf95c,Good
0xd9ed,Standard
0x1868a,Standard
0x139f2,Standard
0x1dd2e,Good
0x89d6,Poor
0x18561,Good
0x6007,Poor
0x13755,Good
0x19f1e,Standard
0x14304,Standard
0xbc47,Standard
0xa28e,Good
0xe259,Standard
0x10f1c,Standard
0x7665,Good
0x1b3e0,Standard
0x19914,Poor
0xaaa1,Good
0x1ca86,Poor
0x110c3,Standard
0x7b24,Good
0x13012,Standard
0x183ae,Poor
0x1d96e,Standard
0x9736,Standard
0x15b57,Poor
0x10e5b,Good
0xc3a2,Poor
0x8c95,Standard
0x24e0,Good
0x1127a,Poor
0xee1e,Poor
0x33ca,Standard
0x1a1c6,Poor
0x16225,Good
0x1a39d,Standard
0x16b31,Standard
0xf98d,Standard
0x74b2,Standard
0x75b3,Poor
0x10130,Standard
0x380a,Poor
0x2d5b,Standard
0x4667,Standard
0xc81a,Standard
0x2f7c,Standard
0x909c,Poor
0x18917,Good
0x99b5,Poor
0x1e541,Good
0x172fe,Good
0xdd0c,Standard
0x6b32,Standard
0x1d3be,Poor
0xa8af,Good
0x10668,Standard
0x16c38,Standard
0x175ad,Good
0x1e824,Standard
0x11490,Good
0x9831,Standard
0x7460,Standard
0x7fc4,Good
0x8c0a,Good
0x13937,Standard
0x1a55,Standard
0x45d3,Poor
0x10703,Standard
0x1ce18,Standard
0x17a4f,Good
0x80d9,Good
0x11e12,Poor
0x18dc9,Poor
0x19789,Standard
0x19d9f,Poor
0x67b6,Good
0x26ef,Good
0xa277,Standard
0xf834,Standard
0x1c397,Standard
0x1b1e0,Good
0x55bb,Standard
0x247e,Poor
0x229f,Standard
0x3c8b,Standard
0x1a36d,Poor
0x14d7e,Poor
0x17598,Standard
0x18f7f,Good
0x1b947,Good
0xbb26,Standard
0xaef7,Standard
0x29ad,Poor
0xe412,Standard
0x1f75,Standard
0x2415,Good
0xf87a,Poor
0x1036f,Standard
0xc2cf,Poor
0x1f06,Standard
0x1cde4,Poor
0x1a580,Standard
0xf4f7,Poor
0xd010,Poor
0xc5fa,Good
